model,family,variant,run,epoch,thr,selection,paper_f1,top1_f1_recalc,top3_f1,top1_precision,top3_precision,top1_recall,top3_recall,top1_dcc_rate,top3_dcc_rate,dca_rate_top1,dvo_success_top1,dvo_all_top1,sample_count
CBAMUNet3D,apbs_shape,apbs_full_signed,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,144,0.4,1.7999495642811274,0.7142857142857143,0.7142857142857143,0.744186046511628,0.5769230769230769,0.6153846153846154,0.9375,0.9411764705882353,0.5555555555555556,0.5925925925925926,0.7314814814814815,0.4916887491016938,0.37578292764286736,108
CBAMUNet3D,apbs_shape,apbs_posneg_clip20,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_posneg_clip20,152,0.3,1.779074468261297,0.6909090909090909,0.6909090909090909,0.7142857142857143,0.57,0.6,0.8769230769230769,0.8823529411764706,0.5277777777777778,0.5555555555555556,0.7129629629629629,0.5214623757818729,0.3727113825757813,108
CBAMUNet3D,apbs_shape,apbs_clip20_minmax,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,69,0.2,1.7116960066069078,0.6666666666666666,0.6666666666666666,0.6987951807228916,0.5192307692307693,0.5576923076923077,0.9310344827586207,0.9354838709677419,0.5,0.5370370370370371,0.6944444444444444,0.4779765758685174,0.35670830306613877,108
UNetPlusPlus3D,apbs_shape,apbs_full_signed,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,179,0.5,1.837640119070462,0.7142857142857144,0.7142857142857144,0.7294117647058823,0.5660377358490566,0.5849056603773585,0.967741935483871,0.96875,0.5555555555555556,0.5740740740740741,0.7314814814814815,0.5354281326301521,0.4088607572321415,108
UNetPlusPlus3D,apbs_shape,apbs_clip20_minmax,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,203,0.45,1.8050561298241905,0.6909090909090908,0.6909090909090908,0.7142857142857142,0.5428571428571428,0.5714285714285714,0.95,0.9523809523809523,0.5277777777777778,0.5555555555555556,0.75,0.5324711854005217,0.3987605418505203,108
UNetPlusPlus3D,apbs_shape,apbs_posneg_clip20,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_posneg_clip20,248,0.8,1.757133057193148,0.6666666666666666,0.6666666666666666,0.6909090909090909,0.5192307692307693,0.5480769230769231,0.9310344827586207,0.9344262295081968,0.5,0.5277777777777778,0.7222222222222222,0.5295787332416872,0.3787818377988572,108
UNetPlusPlus3D,apbs_shape_selected_chem,apbs_full_signed,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_full_signed,250,0.4,1.8319117844538155,0.6987951807228916,0.6987951807228916,0.7065868263473054,0.5576923076923077,0.5673076923076923,0.9354838709677419,0.9365079365079365,0.5370370370370371,0.5462962962962963,0.7592592592592593,0.551272697820969,0.39893230266805507,108
UNetPlusPlus3D,apbs_shape_selected_chem,apbs_posneg_clip20,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_posneg_clip20,204,0.2,1.81235227949752,0.6909090909090909,0.6909090909090909,0.7218934911242603,0.5327102803738317,0.5700934579439252,0.9827586206896551,0.9838709677419355,0.5277777777777778,0.5648148148148148,0.7685185185185185,0.5387088383236028,0.3939672852947688,108
UNetPlusPlus3D,apbs_shape_selected_chem,apbs_clip20_minmax,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_clip20_minmax,207,0.55,1.799803133982236,0.674846625766871,0.674846625766871,0.6987951807228916,0.514018691588785,0.5420560747663551,0.9821428571428571,0.9830508474576272,0.5092592592592593,0.5370370370370371,0.7592592592592593,0.5350929422173847,0.393885662721403,108
UNet3D4LA,apbs_shape,apbs_full_signed,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,218,0.45,1.7973526460719484,0.6987951807228915,0.6987951807228915,0.7294117647058824,0.5523809523809524,0.5904761904761905,0.9508196721311475,0.9538461538461539,0.5370370370370371,0.5740740740740741,0.75,0.49941489036325126,0.3874563036840039,108
UNet3D4LA,apbs_shape,apbs_clip20_minmax,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,216,0.3,1.768382511627419,0.6909090909090908,0.6909090909090908,0.6987951807228915,0.5588235294117647,0.5686274509803921,0.9047619047619048,0.90625,0.5277777777777778,0.5370370370370371,0.7222222222222222,0.5178276370799361,0.3773273541238382,108
UNet3D4LA,apbs_shape,apbs_posneg_clip20,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_posneg_clip20,250,0.3,1.6411209893725278,0.6499999999999999,0.6499999999999999,0.7142857142857142,0.48598130841121495,0.5607476635514018,0.9811320754716981,0.9836065573770492,0.48148148148148145,0.5555555555555556,0.6759259259259259,0.5091795833983077,0.35584435358140865,108
